city,year,rank,nrank_less10lakh ,nrank_more10lakh,servicelevel,observation,feedback,total,certification,ulbcensuscode,district,state,bjp_ruled,wards,pop2011,nodalperson,awardcategory,asics2017rank,asics2017score,mayoralterm,electionmode,commtenure,commexp,mc,admin_type,zrankeast,zranknorth,zrankne,zrankwest,zranksouth,revenue,rev_per_capita,change,change_percent,Code
Kolkata,2019,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,0
Kolkata,2016,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,0
Kolkata,2017,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,2,4.6,5,Indirect,1,65,,,NA,NA,NA,NA,NA,,,,,0
Kolkata,2018,NA,,,NA,NA,NA,NA,NA,NA,NA,West Bengal,0,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,,,0
Greater Mumbai,2016,10,,,789,442,303,1534,NA,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,Leaders-BPC among Mega Cities,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.7107E+11,21786,-0.012375674,-1.237567357,1
Greater Mumbai,2017,29,,,823.08,412.54,299.48,1535.09,NA,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.67756E+11,21520,0.035615256,3.561525607,1
Greater Mumbai,2018,18,,,904,1071,1200,3175,NA,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,Cleanest State Capital,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.77645E+11,22314,0.000948982,0.094898224,1
Greater Mumbai,2019,49,,,862,1116,849,3277,450,802794,Mumbai,Maharashtra,1,227,12442373,Nodal Person,Best CC/UT in IBP,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.77908E+11,22336,0.068064211,6.806421092,1
Greater Mumbai,2020,35,,35,938.88,907,960.51,3106.39,300,802794,Mumbai,Maharashtra,,227,12442373,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,2.98206E+11,23967,,,1
Bruhat Bengaluru Mahanagara Palike,2016,38,,,637,285,260,1182,NA,803162,Bangalore Urban,Karnataka,0,198,8495492,NA,Acceleration Required,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,47662738268,5610,,,
Bruhat Bengaluru Mahanagara Palike,2017,210,,,360.03,273.83,333.98,967.84,NA,803162,Bangalore Urban,Karnataka,0,198,8495492,NA,None,23,3,1,Indirect,4,20,1,MC,NA,NA,NA,NA,NA,49602370000,5839,,,2
Bruhat Bengaluru Mahanagara Palike,2018,215,,,481,901.91,619.07,2001.98,NA,803162,Bangalore Urban,Karnataka,0,198,8495492,NA,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,51542001732,6067,,,
Bruhat Bengaluru Mahanagara Palike,2019,194,,,738.86,970,617.96,2351.81,25,803162,Bangalore Urban,Karnataka,0,198,8495492,NA,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,70591400000,8309,,,2
Bruhat Bengaluru Mahanagara Palike,2020,37,,37,703.91,702.44,750.48,2656.83,500,803162,Bangalore Urban,Karnataka,,198,8495492,NA,"Best 'Self-Sustainable City' (National Level, >10 Lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,73351778575,8634,,,
Greater Hyderabad,2016,19,,,739,340,276,1355,NA,802918,Hyderabad,Telangana,0,150,6731790,NA,Aspiring Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,23817164000,3538,0.023740162,2.37401623,1
Greater Hyderabad,2017,22,,,733.89,428,443.4,1605.3,NA,802918,Hyderabad,Telangana,0,150,6731790,NA,None,8,4.3,5,Indirect,3,118,1,MC,NA,NA,NA,NA,NA,24396337000,3624,0.050867818,5.086781797,1
Greater Hyderabad,2018,27,,,973,1177,942,3092,NA,802918,Hyderabad,Telangana,0,150,6731790,NA,Best city in SWM pop > 10 lakh,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,25703835000,3818,0.107489459,10.74894594,1
Greater Hyderabad,2019,35,,,802,1117,936,3455,600,802918,Hyderabad,Telangana,0,150,6731790,NA,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,28799475000,4278,0.084617877,8.461787678,1
Greater Hyderabad,2020,23,,23,1014.44,1376.3,1156.27,4047.01,500,802918,Hyderabad,Telangana,,150,6731790,NA,"Best Mega City in 'Citizens Feedback' (National Level, >10 Lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,31461697000,4674,,,1
Ahmedabad,2016,14,,,739,403,310,1452,NA,802484,AHMEDABAD,Gujarat,1,48,5577940,NA,Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,38291768382,6865,-0.048030998,-4.803099817,3
Ahmedabad,2017,14,,,806.48,455.6,394.94,1657.02,NA,802484,AHMEDABAD,Gujarat,1,48,5577940,NA,None,7,4.4,2.5,Indirect,3,79,1,MC,NA,NA,NA,NA,NA,36536866227,6550,0.073423125,7.342312468,1
Ahmedabad,2018,12,,,1162,1066,1145,3373,NA,802484,AHMEDABAD,Gujarat,1,48,5577940,NA,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,39432093764,7069,0.073086332,7.308633226,1
Ahmedabad,2019,6,,,1167.43,1248,972,4137.43,750,802484,AHMEDABAD,Gujarat,1,48,5577940,NA,ICC big city (> 10 Lakh),NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,42541279880,7627,,,1
Ahmedabad,2020,5,,5,1367.14,1498.72,1241.26,5207.12,1100,802484,AHMEDABAD,Gujarat,,48,5577940,NA,"India's 'Cleanest Mega City (National Level, >10 Lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,44204797497,7925,,,
Chennai,2016,37,,,528,361,305,1194,NA,803339,Chennai,Tamil Nadu,0,200,4646732,Commissioner/EO,Acceleration Required,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,18567157597,3996,,,
Chennai,2017,235,,,410.71,287.41,217.65,915.78,NA,803339,Chennai,Tamil Nadu,0,200,4646732,Commissioner/EO,None,19,3.3,5,Indirect,4,57,1,MC,NA,NA,NA,NA,NA,19322746750,4158,-0.030410313,-3.041031299,1
Chennai,2018,100,,,699,915,972,2586,NA,803339,Chennai,Tamil Nadu,0,200,4646732,Commissioner/EO,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,18752478024,4036,0.3582721,35.82720995,1
Chennai,2019,61,,,787,980,851,3118,500,803339,Chennai,Tamil Nadu,0,200,4646732,Commissioner/EO,FMC/UT City,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,29221852454,6289,0.176255202,17.62552022,1
Chennai,2020,45,,45,699.64,565.56,545.74,2010.94,200,803339,Chennai,Tamil Nadu,,200,4646732,Commissioner/EO,"Best Mega City in 'Innovation & Best Practices' (National Level, >10 Lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,35474400000,7634,,,2
Surat,2016,6,,,859,410,336,1605,NA,802629,SURAT,Gujarat,1,29,4467797,Nodal Officer,Leaders-BPC in WZ,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,17060283135,3819,0.180159651,18.01596514,1
Surat,2017,4,,,848.58,424.66,489.25,1762.49,NA,802629,SURAT,Gujarat,1,29,4467797,Nodal Officer,ICC No. 4,5,4.5,2.5,Indirect,3,45,1,MC,NA,NA,NA,NA,NA,20809274834,4658,0.187398524,18.73985244,1
Surat,2018,14,,,941,1193,1185,3318,NA,802629,SURAT,Gujarat,1,29,4467797,Nodal Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,25608216893,5732,0.118339409,11.83394095,1
Surat,2019,14,,,914,1223,974,3861,750,802629,SURAT,Gujarat,1,29,4467797,Nodal Officer,Best City in SWM (> 10 Lakh),NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,29045436722,6501,-0.023673263,-2.367326252,1
Surat,2020,2,,2,1350.27,1500,1369.32,5519.59,1300,802629,SURAT,Gujarat,,29,4467797,Nodal Officer,"India's Cleanest City - No.2 (National Level, >10 Lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,28373737779,6351,,,1
East Delhi,2016,52,,,389,362,264,1015,NA,900118,East,Delhi,0,64,4000000,Commissioner,Acceleration Required,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
East Delhi,2017,196,,,567.33,239.9,196.34,1003.57,NA,900118,East,Delhi,0,64,4000000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
East Delhi,2018,338,,,257,628.92,624.23,1510.15,NA,900118,East,Delhi,0,64,4000000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
East Delhi,2019,240,,,301.51,939,829.37,2094.88,25,900118,East,Delhi,0,64,4000000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
East Delhi,2020,46,,46,439.86,647,675.45,1962.31,200,900118,East,Delhi,,64,4000000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
Pune,2016,11,,,927,304,301,1533,NA,802814,Pune,Maharashtra,1,41,3124458,Nodal Person,Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,38619616337,12360,0.086832645,8.683264523,1
Pune,2017,13,,,870.39,409.92,379.87,1660.19,NA,802814,Pune,Maharashtra,1,41,3124458,Nodal Person,None,1,5.1,2.5,Indirect,3,87,1,MC,NA,NA,NA,NA,NA,42291937108,13536,0.107411679,10.74116787,1
Pune,2018,10,,,1191,1159,1121,3471,NA,802814,Pune,Maharashtra,1,41,3124458,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,47381235111,15165,0.085588022,8.558802211,1
Pune,2019,37,,,844,1137,915,3446,550,802814,Pune,Maharashtra,1,41,3124458,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,51816070061,16584,,,1
Pune,2020,15,,15,1269.61,1103,1004.7,4477.31,1100,802814,Pune,Maharashtra,,41,3124458,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,53842265456,17233,,,
Jaipur,2016,29,,,715,302,219,1236,NA,268806,Jaipur,Rajasthan,1,91,3046163,EO,Aspiring Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,5418545584,1779,0.036356874,3.635687353,1
Jaipur,2017,215,,,406.21,269.6,278.28,954.09,NA,268806,Jaipur,Rajasthan,1,91,3046163,EO,None,18,3.4,5,Indirect,6,31,1,MC,NA,NA,NA,NA,NA,5622979540,1846,0.018739725,1.873972494,1
Jaipur,2018,39,,,844,1180,946,2971,NA,268806,Jaipur,Rajasthan,1,91,3046163,EO,FMC among state capitals,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,5730365004,1881,0.014661429,1.466142866,1
Jaipur,2019,44,,,681,1111,974,3366,600,268806,Jaipur,Rajasthan,0,91,3046163,EO,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,5815630455,1909,0.031566386,3.156638579,1
Jaipur,2020,28,,28,991.29,1101,1068.1,3660.39,500,268806,Jaipur,Rajasthan,,91,3046163,EO,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,6005192684,1971,,,1
Lucknow,2016,28,,,664,325,248,1237,NA,800951,Lucknow,Uttar Pradesh,0,110,2817105,Executive Officer,Aspiring Leaders,NA,NA,NA,NA,NA,NA,1,NN,NA,NA,NA,NA,NA,9024955294,3204,0.102608294,10.26082938,1
Lucknow,2017,269,,,424.88,220.75,214.13,859.76,NA,800951,Lucknow,Uttar Pradesh,0,110,2817105,Executive Officer,None,13,3.8,5,Direct,3,38,1,NN,NA,NA,NA,NA,NA,10056873973,3570,-0.057393215,-5.739321472,1
Lucknow,2018,115,,,548,858.01,1094.97,2500.98,NA,800951,Lucknow,Uttar Pradesh,1,110,2817105,Executive Officer,None,NA,NA,NA,NA,NA,NA,1,NN,NA,NA,NA,NA,NA,9511006722,3376,0.005323833,0.532383304,1
Lucknow,2019,121,,,259.09,899,988.97,2747.06,600,800951,Lucknow,Uttar Pradesh,1,110,2817105,Executive Officer,None,NA,NA,NA,NA,NA,NA,1,NN,NA,NA,NA,NA,NA,9561912749,3394,0.099729034,9.972903358,1
Lucknow,2020,12,,12,1248.4,1493.62,1286.26,4728.28,700,800951,Lucknow,Uttar Pradesh,,110,2817105,Executive Officer,"Fastest Mover' State Capital/UT (National Level, >10 Lakh)",NA,NA,NA,NA,NA,NA,1,NN,NA,NA,NA,NA,NA,10621149749,3770,,,1
Kanpur,2016,45,,,585,270,235,1090,NA,801005,Kanpur Nagar,Uttar Pradesh,0,110,2765348,Executive Officer,Acceleration Required,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,4597464414,1663,0.007660079,0.766007867,1
Kanpur,2017,175,,,585.83,168.44,299.01,1053.28,NA,801005,Kanpur Nagar,Uttar Pradesh,0,110,2765348,Executive Officer,None,12,3.9,5,Direct,4,6,1,MC,NA,NA,NA,NA,NA,4632953200,1675,0.023765335,2.376533475,1
Kanpur,2018,65,,,679,848,1243,2771,NA,801005,Kanpur Nagar,Uttar Pradesh,1,110,2765348,Executive Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,4745737234,1716,0.070959884,7.095988437,1
Kanpur,2019,63,,,427,1050,1036,3113,600,801005,Kanpur Nagar,Uttar Pradesh,1,110,2765348,Executive Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,5108215624,1847,0.015797892,1.57978918,1
Kanpur,2020,25,,25,939.5,1110,1234.39,3783.89,500,801005,Kanpur Nagar,Uttar Pradesh,,110,2765348,Executive Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,5190210000,1877,,,2
South Delhi (SDMC),2016,39,,,641,287,252,1180,NA,900120,South Delhi,Delhi,0,104,2736000,Commissioner,Acceleration Required,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
South Delhi (SDMC),2017,202,,,557.14,196.85,230.22,984.2,NA,900120,South Delhi,Delhi,0,104,2736000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
South Delhi (SDMC),2018,32,,,833,987,1209,3029,NA,900120,South Delhi,Delhi,0,104,2736000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
South Delhi (SDMC),2019,138,,,465.54,1105,971.16,2641.7,100,900120,South Delhi,Delhi,0,104,2736000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
South Delhi (SDMC),2020,31,,31,707.9,1225,1189.37,3422.27,300,900120,South Delhi,Delhi,,104,2736000,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
North Delhi NDMC,2016,43,,,504,372,257,1132,NA,900119,New Delhi,Delhi,0,104,2578030,Commissioner,Leaders-BPC among smart cities and Best in Service Level Status Category,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
North Delhi NDMC,2017,279,,,383.16,178.57,272.2,833.93,NA,900119,New Delhi,Delhi,0,104,2578030,Commissioner,None,6,4.4,1,Indirect,2.7,15,1,MC,NA,NA,NA,NA,NA,,,,,4
North Delhi NDMC,2018,206,,,349,757.87,947.99,2054.86,NA,900119,New Delhi,Delhi,0,104,2578030,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
North Delhi NDMC,2019,282,,,159.1,914,803.2,1901.3,25,900119,New Delhi,Delhi,0,104,2578030,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
North Delhi NDMC,2020,43,,43,418.19,797.35,853.72,2169.26,100,900119,New Delhi,Delhi,,104,2578030,Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
Nagpur,2016,20,,,650,363,336,1348,NA,802710,Nagpur,Maharashtra,1,38,2405665,Nodal Person,Aspiring Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,13258271000,5511,0.272771687,27.2771687,1
Nagpur,2017,137,,,531.83,324.7,301.75,1158.27,NA,802710,Nagpur,Maharashtra,1,38,2405665,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,18231236000,7578,0.037731967,3.773196714,1
Nagpur,2018,55,,,639,1165,1031,2835,NA,802710,Nagpur,Maharashtra,1,38,2405665,Nodal Person,Best city in IBP in > 10 lakh pop,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,18946110000,7876,,,1
Nagpur,2019,58,,,538,1138,935,3160,550,802710,Nagpur,Maharashtra,1,38,2405665,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,19686971296,8184,,,
Nagpur,2020,18,,18,1207.95,1354,1283.11,4345.06,500,802710,Nagpur,Maharashtra,,38,2405665,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,20456802944,8504,,,
Indore,2016,25,,,706,317,253,1276,NA,802273,Indore,Madhya Pradesh,1,85,1964086,Municipal Commissioner,Aspiring Leader,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,10884433185,5542,0.151480989,15.14809887,1
Indore,2017,1,,,875,435.78,496.94,1807.72,NA,802273,Indore,Madhya Pradesh,1,85,1964086,Municipal Commissioner,ICC Rank 1,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,12827565488,6531,0.154107214,15.41072144,1
Indore,2018,1,,,1359,1189,1159,3707,NA,802273,Indore,Madhya Pradesh,1,85,1964086,Municipal Commissioner,ICC National Rank 1,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,15164528775,7721,,,1
Indore,2019,1,,,1239,1241,1129,4659,1050,802273,Indore,Madhya Pradesh,0,85,1964086,Municipal Commissioner,ICC No.1 (National Level),NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,15757516594,8023,,,
Indore,2020,1,,1,1431.44,1500,1416.12,5647.56,1300,802273,Indore,Madhya Pradesh,,85,1964086,Municipal Commissioner,"India's Cleanest City - No.1 (National level, >10 lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,16373692378,8337,,,
Thane,2016,17,,,650,393,324,1367,NA,802787,Thane,Maharashtra,1,33,1841488,Nodal Person,Aspiring Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,18261999772,9917,0.14066645,14.06664499,1
Thane,2017,116,,,602.84,354.14,248.57,1205.56,NA,802787,Thane,Maharashtra,1,33,1841488,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,21251352016,11540,,,1
Thane,2018,40,,,629,1118,1220,2967,NA,802787,Thane,Maharashtra,1,33,1841488,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,22082356597,11992,,,3
Thane,2019,57,,,541,1142,948,3181,550,802787,Thane,Maharashtra,1,33,1841488,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,22945856457,12460,,,3
Thane,2020,14,,14,1170.9,1112,1223.45,4606.35,1100,802787,Thane,Maharashtra,,33,1841488,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,23843122279,12948,,,3
Bhopal,2016,21,,,571,393,372,1336,NA,802312,Bhopal,Madhya Pradesh,1,85,1798218,Municipal Commissioner,Aspiring Leader,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,7853613558,4367,,,
Bhopal,2017,2,,,829.58,483,487.85,1800.43,NA,802312,Bhopal,Madhya Pradesh,1,85,1798218,Municipal Commissioner,ICC Rank 2,15,3.7,5,Direct,5,12,1,MC,NA,NA,NA,NA,NA,8173215801,4545,0.126556395,12.65563951,1
Bhopal,2018,2,,,1305,1179,1205,3689,NA,802312,Bhopal,Madhya Pradesh,1,85,1798218,Municipal Commissioner,ICC National Rank 2,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,9357462526,5204,0.083829739,8.382973886,1
Bhopal,2019,19,,,986,1145,1062,3794,600,802312,Bhopal,Madhya Pradesh,0,85,1798218,Municipal Commissioner,Cleanest CC/UT,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,10213671981,5680,-0.034013206,-3.401320566,1
Bhopal,2020,7,,7,1347.38,1474.47,1144.45,5066.3,1100,802312,Bhopal,Madhya Pradesh,,85,1798218,Municipal Commissioner,"Best 'Self-Sustainable State Capital/UT' (National Level, <10 Lakh)",NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,9877699748,5493,,,1
Visakhapatnam,2016,5,,,817,486,341,1643,NA,802947,Visakhapatnam,Andhra Pradesh,0,74,1728128,Municipal Commissioner,Leaders- BPC in SZ and Best in Independent Observation category,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,6510631666,3767,0.115019263,11.5019263,1
Visakhapatnam,2017,3,,,869,458.51,469.02,1796.53,NA,802947,Visakhapatnam,Andhra Pradesh,0,74,1728128,Municipal Commissioner,ICC No.3,17,3.4,5,Indirect,4,17,1,MC,NA,NA,NA,NA,NA,7356806079,4257,0.128161654,12.81616543,1
Visakhapatnam,2018,7,,,1209,1107,1231,3547,NA,802947,Visakhapatnam,Andhra Pradesh,0,74,1728128,Municipal Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,8438268534,4883,0.107149241,10.71492414,1
Visakhapatnam,2019,23,,,914,1193,1037,3744,600,802947,Visakhapatnam,Andhra Pradesh,0,74,1728128,Municipal Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,9450928336,5469,,,1
GVMC Visakhapatnam,2020,9,,9,1188.88,1468.85,1160.71,4918.44,1100,802947,Visakhapatnam,Andhra Pradesh,,74,1728128,Municipal Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,9820493752,5683,,,
Pimpri Chinchwad,2016,9,,,811,399,349,1559,NA,802811,Pune,Maharashtra,1,32,1727692,Nodal Person,Leaders-BPC among Satellite Towns,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Pimpri Chinchwad,2017,72,,,673.92,233.36,412.89,1320.18,NA,802811,Pune,Maharashtra,1,32,1727692,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Pimpri Chinchwad,2018,43,,,743,1111,1082,2935,NA,802811,Pune,Maharashtra,1,32,1727692,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Pimpri Chinchwad,2019,52,,,727,1016,885,3228,600,802811,Pune,Maharashtra,1,32,1727692,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Pimpri Chinchwad,2020,24,,24,1204.28,1291,949.81,3945.09,500,802811,Pune,Maharashtra,,32,1727692,Nodal Person,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Patna,2016,70,,,297,243,205,746,NA,801373,Patna,Bihar,0,76,1684222,Municipal Commissioner,Slow Movers,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
Patna,2017,262,,,400.79,221.24,257.55,879.58,NA,801373,Patna,Bihar,0,76,1684222,Municipal Commissioner,None,20,3.3,5,Indirect,More than 5,18,1,MC,NA,NA,NA,NA,NA,,,,,4
Patna,2018,309,,,155,800.59,689.33,1644.92,NA,801373,Patna,Bihar,2,76,1684222,Municipal Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
Patna,2019,318,,,287.39,748,650.16,1685.55,0,801373,Patna,Bihar,2,76,1684222,Municipal Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
Patna,2020,47,,47,105.16,600,846.94,1552.1,,801373,Patna,Bihar,,76,1684222,Municipal Commissioner,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,4
Vadodara,2016,13,,,753,452,305,1511,NA,802596,Vadodara,Gujarat,1,12,1670806,Nodal Officer,Leaders,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Vadodara,2017,10,,,837.25,406.24,459.58,1703.07,NA,802596,Vadodara,Gujarat,1,12,1670806,Nodal Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Vadodara,2018,44,,,930,983,1012,2925,NA,802596,Vadodara,Gujarat,1,12,1670806,Nodal Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Vadodara,2019,79,,,406,975,1019,3000,600,802596,Vadodara,Gujarat,1,12,1670806,Nodal Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Vadodara,2020,10,,10,1269.2,1497,1004.13,4870.33,1100,802596,Vadodara,Gujarat,,12,1670806,Nodal Officer,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,,,,,3
Ghaziabad,2016,67,,,300,293,227,820,NA,800734,Ghaziabad,Uttar Pradesh,0,100,1648643,MC,Slow Movers,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,3782137210,2294,-0.006538854,-0.653885395,1
Ghaziabad,2017,351,,,349.36,125.53,196.93,671.82,NA,800734,Ghaziabad,Uttar Pradesh,0,100,1648643,MC,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,3757567028,2279,0.057093563,5.709356326,1
Ghaziabad,2018,36,,,779,1034,1180,2993,NA,800734,Ghaziabad,Uttar Pradesh,1,100,1648643,MC,FMC > 10 lakh pop,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,3985090017,2417,0.06291291,6.291290971,1
Ghaziabad,2019,13,,,983,1201,993,3877,700,800734,Ghaziabad,Uttar Pradesh,1,100,1648643,MC,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,4252635703,2579,,,1
Ghaziabad,2020,19,,19,1069.15,1376,1138.11,4283.26,700,800734,Ghaziabad,Uttar Pradesh,,100,1648643,MC,None,NA,NA,NA,NA,NA,NA,1,MC,NA,NA,NA,NA,NA,4418929111,2680,,,
